,rk,player,tm,fantpos,age,games,games_started,passes_completed,pass_attempts,passing_yds,passing_td,passes_intercepted,rushing_att,rushing_yds,yds_rushing_att,rushing_td,targets,receptions,receiving_yds,yds_reception,receiving_td,fumbles,fumbles_lost,touchdowns,2_pt_conv_made,2_pt_conv_passes,fantasy_points,fantasy_points_ppr_,draftkings_points,fanduel_points,vbd,posrank,ovrank
252,253,Braelon Allen,NYJ,RB,21,4,0,0,0,0,0,0,18,76,4.22,1,3,2,17,8.50,0,1,1,1,,,13,15.3,16.3,14.3,,66,
253,254,Isaiah Bond,CLE,WR,21,7,1,0,0,0,0,0,1,9,9.00,0,26,11,123,11.18,0,0,0,0,,,13,24.2,27.2,18.7,,107,
254,255,Brandin Cooks,NOR,WR,32,7,2,0,0,0,0,0,0,0,,0,18,14,127,9.07,0,0,0,0,,,13,26.7,29.7,19.7,,109,
255,256,Kameron Johnson,TAM,WR,23,7,0,0,0,0,0,0,1,2,2.00,0,5,4,64,16.00,1,0,0,1,,,13,16.6,16.6,14.6,,110,
256,257,Dawson Knox,BUF,TE,29,6,5,0,0,0,0,0,0,0,,0,12,7,73,10.43,1,0,0,1,,,13,20.3,20.3,16.8,,45,
257,258,Tyler Lockett,TEN,WR,33,7,1,0,0,0,0,0,0,0,,0,21,10,70,7.00,0,0,0,1,,,13,23.0,23.0,18.0,,108,
258,259,Adonai Mitchell,IND,WR,23,6,1,0,0,0,0,0,0,0,,0,14,8,145,18.13,0,1,1,0,,,13,20.5,24.5,16.5,,111,
259,260,Kalif Raymond,DET,WR,31,7,2,0,0,0,0,0,1,9,9.00,0,12,9,64,7.11,0,0,0,1,,,13,22.3,22.3,17.8,,105,
260,261,Jeremy Ruckert,NYJ,TE,25,7,6,0,0,0,0,0,0,0,,0,9,8,72,9.00,1,0,0,1,,,13,21.2,21.2,17.2,,46,
261,262,Jordan Whittington,LAR,WR,25,7,4,0,0,0,0,0,3,12,4.00,0,17,12,121,10.08,0,0,0,0,,,13,25.3,28.3,19.3,,106,
262,263,Dontayvion Wicks,GNB,WR,24,6,4,0,0,0,0,0,0,0,,0,20,13,134,10.31,0,0,0,0,,,13,26.4,29.4,19.9,,104,
263,264,Emanuel Wilson,GNB,RB,26,6,0,0,0,0,0,0,24,101,4.21,0,5,5,31,6.20,0,0,0,0,,,13,18.2,21.2,15.7,,67,
264,265,Elijah Arroyo,SEA,TE,22,7,1,0,0,0,0,0,0,0,,0,17,11,140,12.73,0,1,1,0,,,12,23.0,27.0,17.5,,47,
265,266,Isaiah Davis,NYJ,RB,23,7,0,0,0,0,0,0,10,44,4.40,0,14,9,73,8.11,0,0,0,0,,,12,20.7,20.7,16.2,,68,
266,267,Tyler Johnson,NYJ,WR,27,6,2,0,0,0,0,0,0,0,,0,10,7,123,17.57,0,0,0,0,,,12,19.3,22.3,15.8,,112,
267,268,Tim Patrick,JAX,WR,32,7,0,0,0,0,0,0,0,0,,0,6,4,63,15.75,1,0,0,1,,,12,16.3,16.3,14.3,,113,
268,269,Josh Reynolds,NYJ,WR,30,5,3,0,0,0,0,0,0,0,,0,21,11,101,9.18,0,0,0,0,1,,12,23.1,26.1,17.6,,114,
269,270,Adam Trautman,DEN,TE,28,7,4,0,0,0,0,0,0,0,,0,8,7,58,8.29,1,0,0,1,,,12,18.8,18.8,15.3,,48,
270,271,Ameer Abdullah,IND,RB,32,3,0,0,0,0,0,0,5,32,6.40,1,2,2,17,8.50,0,0,0,1,,,11,12.9,12.9,11.9,,69,
271,272,Nate Adkins,DEN,TE,26,5,3,0,0,0,0,0,0,0,,0,9,6,48,8.00,1,0,0,1,,,11,16.8,16.8,13.8,,51,
272,273,Ray Davis,BUF,RB,26,6,0,0,0,0,0,0,13,30,2.31,0,4,3,18,6.00,1,0,0,1,,,11,13.8,13.8,12.3,,70,
273,274,Jahan Dotson,PHI,WR,25,7,4,0,0,0,0,0,0,0,,0,12,7,111,15.86,0,0,0,0,,,11,18.1,21.1,14.6,,115,
274,275,Terrance Ferguson,LAR,TE,22,5,0,0,0,0,0,0,1,0,0.00,0,4,2,52,26.00,1,0,0,1,,,11,13.2,13.2,12.2,,50,
275,276,Jackson Hawes,BUF,TE,25,6,2,0,0,0,0,0,0,0,,0,4,4,54,13.50,1,0,0,1,,,11,15.4,15.4,13.4,,49,
276,277,Christian Kirk,HOU,WR,29,3,2,0,0,0,0,0,0,0,,0,16,10,109,10.90,0,0,0,0,,,11,20.9,23.9,15.9,,116,
277,278,Jayden Reed,GNB,WR,25,2,1,0,0,0,0,0,0,0,,0,5,3,45,15.00,1,0,0,1,,,11,13.5,13.5,12.0,,118,
278,279,Brycen Tremayne,CAR,WR,26,7,1,0,0,0,0,0,0,0,,0,12,9,108,12.00,0,1,0,0,,,11,19.8,22.8,15.3,,117,
279,280,Luke Farrell,SFO,TE,28,7,4,0,0,0,0,0,0,0,,0,9,7,58,8.29,1,1,1,1,,,10,16.8,17.8,13.3,,53,
280,281,Elijah Higgins,ARI,TE,25,7,3,0,0,0,0,0,0,0,,0,11,9,102,11.33,0,0,0,0,,,10,19.2,22.2,14.7,,52,
281,282,Julian Hill,MIA,TE,25,7,7,0,0,0,0,0,0,0,,0,13,10,77,7.70,0,0,0,0,1,,10,19.7,19.7,14.7,,54,
282,283,Allen Lazard,NYJ,WR,30,5,1,0,0,0,0,0,0,0,,0,9,6,40,6.67,1,0,0,1,,,10,16.0,16.0,13.0,,120,
283,284,Samaje Perine,CIN,RB,30,7,0,0,0,0,0,0,22,99,4.50,0,8,6,24,4.00,0,1,1,0,,,10,16.3,17.3,13.3,,72,
284,285,Demarcus Robinson,SFO,WR,31,4,1,0,0,0,0,0,0,0,,0,13,6,103,17.17,0,0,0,0,,,10,16.3,19.3,13.3,,119,
285,286,Curtis Samuel,BUF,WR,29,2,0,0,0,0,0,0,0,0,,0,4,3,35,11.67,1,0,0,1,,,10,12.5,12.5,11.0,,122,
286,287,Tyjae Spears,TEN,RB,24,3,0,0,0,0,0,0,14,67,4.79,0,8,7,37,5.29,0,0,0,0,,,10,17.4,17.4,13.9,,71,
287,288,Tylan Wallace,BAL,WR,26,6,1,0,0,0,0,0,0,0,,0,5,3,39,13.00,1,0,0,1,,,10,12.9,12.9,11.4,,121,
288,289,Tyler Conklin,LAC,TE,30,8,5,0,0,0,0,0,1,2,2.00,0,8,5,83,16.60,0,1,0,0,,,9,13.5,13.5,11.0,,57,
289,290,Tanner Conner,MIA,TE,27,7,0,0,0,0,0,0,0,0,,0,12,7,85,12.14,0,0,0,0,,,9,15.5,15.5,12.0,,58,
290,291,Ashton Dulin,IND,WR,28,6,2,0,0,0,0,0,2,22,11.00,0,6,3,66,22.00,0,0,0,0,,,9,11.8,11.8,10.3,,127,
291,292,Najee Harris,LAC,RB,27,3,0,0,0,0,0,0,15,61,4.07,0,3,3,25,8.33,0,0,0,0,,,9,11.6,11.6,10.1,,75,
292,293,Jimmy Horn,CAR,WR,23,3,0,0,0,0,0,0,4,28,7.00,0,7,5,65,13.00,0,0,0,0,,,9,14.3,14.3,11.8,,125,
293,294,George Kittle,SFO,TE,32,2,2,0,0,0,0,0,0,0,,0,6,4,25,6.25,1,0,0,1,,,9,12.5,12.5,10.5,,59,
294,295,Hunter Luepke,DAL,RB,25,7,1,0,0,0,0,0,1,6,6.00,0,5,4,20,5.00,1,0,0,1,,,9,12.6,12.6,10.6,,76,
295,296,Ryan Miller,TAM,WR,25,7,3,0,0,0,0,0,0,0,,0,4,2,34,17.00,1,0,0,1,,,9,11.4,11.4,10.4,,123,
296,297,Raheem Mostert,LVR,RB,33,4,0,0,0,0,0,0,16,80,5.00,0,2,2,13,6.50,0,0,0,0,,,9,11.3,11.3,10.3,,73,
297,298,Ja'Tavion Sanders,CAR,TE,22,4,3,0,0,0,0,0,0,0,,0,16,11,92,8.36,0,0,0,0,,,9,20.2,20.2,14.7,,55,
298,299,Jack Stoll,NOR,TE,27,7,2,0,0,0,0,0,0,0,,0,5,3,28,9.33,1,0,0,1,,,9,11.8,11.8,10.3,,56,
299,300,Dont'e Thornton,LVR,WR,23,7,5,0,0,0,0,0,0,0,,0,19,5,94,18.80,0,0,0,0,,,9,14.4,14.4,11.9,,124,
300,301,Sean Tucker,TAM,RB,24,7,0,0,0,0,0,0,11,34,3.09,1,4,4,-2,-0.50,0,0,0,1,,,9,13.2,13.2,11.2,,74,
301,302,Devaughn Vele,NOR,WR,28,6,2,0,0,0,0,0,0,0,,0,5,4,29,7.25,1,0,0,1,,,9,12.9,12.9,10.9,,126,
302,303,Tyler Badie,DEN,RB,25,6,0,0,0,0,0,0,1,3,3.00,0,14,8,81,10.13,0,0,0,0,,,8,16.4,16.4,12.4,,77,
303,304,Andy Dalton,CAR,QB,38,3,0,9,13,118,1,0,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,8,8.4,8.4,8.4,,41,
304,305,Austin Ekeler,WAS,RB,30,2,2,0,0,0,0,0,14,43,3.07,0,7,5,38,7.60,0,0,0,0,,,8,13.1,13.1,10.6,,79,
305,306,John FitzPatrick,GNB,TE,25,6,0,0,0,0,0,0,0,0,,0,4,4,20,5.00,1,0,0,1,,,8,12.0,12.0,10.0,,61,
306,307,Noah Gray,KAN,TE,26,7,3,0,0,0,0,0,0,0,,0,16,9,75,8.33,0,0,0,0,,,8,16.5,16.5,12.0,,65,
307,308,Connor Heyward,PIT,TE,26,6,1,0,0,0,0,0,1,2,2.00,0,3,2,18,9.00,1,0,0,1,,,8,10.0,10.0,9.0,,62,
308,309,Taysom Hill,NOR,TE,35,3,0,1,1,19,0,0,9,-4,-0.44,1,2,2,12,6.00,0,0,0,1,,,8,9.6,9.6,8.6,,64,
309,310,Ty Johnson,BUF,RB,28,6,0,0,0,0,0,0,11,58,5.27,0,7,2,19,9.50,0,0,0,0,,,8,9.7,9.7,8.7,,80,
310,311,Colston Loveland,CHI,TE,21,5,3,0,0,0,0,0,0,0,,0,13,8,78,9.75,0,0,0,0,,,8,15.8,15.8,11.8,,63,
311,312,Drew Sample,CIN,TE,29,7,6,0,0,0,0,0,0,0,,0,9,5,24,4.80,1,0,0,1,,,8,13.4,13.4,10.9,,60,
312,313,Devin Singletary,NYG,RB,28,7,1,0,0,0,0,0,26,84,3.23,0,3,2,0,0.00,0,0,0,0,,,8,10.4,10.4,9.4,,78,
313,314,Ben Skowronek,PIT,WR,28,6,1,0,0,0,0,0,0,0,,0,2,1,22,22.00,1,0,0,1,,,8,9.2,9.2,8.7,,128,
314,315,Jamari Thrash,CLE,WR,25,7,1,0,0,0,0,0,0,0,,0,11,8,76,9.50,0,0,0,0,,,8,15.6,15.6,11.6,,130,
315,316,Mitchell Tinsley,CIN,WR,26,7,0,0,0,0,0,0,0,0,,0,4,2,22,11.00,1,0,0,1,,,8,10.2,10.2,9.2,,129,
316,317,Cam Akers,MIN,RB,26,3,0,1,1,32,1,0,5,19,3.80,0,1,0,0,,0,0,0,0,,,7,7.2,7.2,7.2,,81,
317,318,Jack Bech,LVR,WR,23,7,1,0,0,0,0,0,0,0,,0,10,7,73,10.43,0,0,0,0,,,7,14.3,14.3,10.8,,131,
318,319,Andrew Beck,NYJ,FB,29,7,0,0,0,0,0,0,0,0,,0,3,2,7,3.50,1,0,0,1,,,7,8.7,8.7,7.7,,82,
319,320,Trevor Etienne,CAR,RB,21,7,0,0,0,0,0,0,15,76,5.07,0,2,2,9,4.50,0,1,1,0,,,7,8.5,9.5,7.5,,84,
320,321,DJ Giddens,IND,RB,22,7,0,0,0,0,0,0,18,66,3.67,0,2,0,0,,0,0,0,0,,,7,6.6,6.6,6.6,,83,
321,322,Tanner Hudson,CIN,TE,31,5,0,0,0,0,0,0,0,0,,0,5,4,10,2.50,1,0,0,1,,,7,11.0,11.0,9.0,,66,
322,323,Tyler Huntley,BAL,QB,27,1,0,10,15,68,0,0,3,39,13.00,0,0,0,0,,0,0,0,0,,,7,6.6,6.6,6.6,,42,
323,324,Konata Mumpfield,LAR,WR,23,7,0,0,0,0,0,0,0,0,,0,3,2,12,6.00,1,0,0,1,,,7,9.2,9.2,8.2,,132,
324,325,Adam Thielen,MIN,WR,35,7,4,0,0,0,0,0,0,0,,0,12,5,47,9.40,0,0,0,0,1,,7,11.7,11.7,9.2,,134,
325,326,Casey Washington,ATL,WR,24,4,2,0,0,0,0,0,0,0,,0,13,5,69,13.80,0,0,0,0,,,7,11.9,11.9,9.4,,133,
326,327,LeQuint Allen,JAX,RB,21,7,0,0,0,0,0,0,4,22,5.50,0,6,5,34,6.80,0,0,0,0,,,6,10.6,10.6,8.1,,87,
327,328,AJ Dillon,PHI,RB,27,6,0,0,0,0,0,0,12,60,5.00,0,2,2,18,9.00,0,1,1,0,,,6,7.8,8.8,6.8,,86,
328,329,Mike Gesicki,CIN,TE,30,6,1,0,0,0,0,0,0,0,,0,16,8,61,7.63,0,0,0,0,,,6,14.1,14.1,10.1,,67,
329,330,Lil'Jordan Humphrey,NYG,WR,27,2,2,0,0,0,0,0,0,0,,0,10,4,55,13.75,0,0,0,0,,,6,9.5,9.5,7.5,,136,
330,331,David Martin-Robinson,TEN,TE,26,7,2,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,68,
331,332,Ray-Ray McCloud,ATL,WR,29,4,1,0,0,0,0,0,0,0,,0,14,6,64,10.67,0,0,0,0,,,6,12.4,12.4,9.4,,135,
332,333,Raheim Sanders,CLE,RB,23,1,0,0,0,0,0,0,3,3,1.00,1,0,0,0,,0,0,0,1,,,6,6.3,6.3,6.3,,85,
333,334,Mo Alie-Cox,IND,TE,32,7,2,0,0,0,0,0,0,0,,0,6,4,50,12.50,0,0,0,0,,,5,9.0,9.0,7.0,,69,
334,335,Pat Bryant,DEN,WR,23,7,2,0,0,0,0,0,0,0,,0,10,5,46,9.20,0,0,0,0,,,5,9.6,9.6,7.1,,142,
335,336,Chris Godwin,TAM,WR,29,2,2,0,0,0,0,0,0,0,,0,14,6,52,8.67,0,0,0,0,,,5,11.2,11.2,8.2,,137,
336,337,Malik Heath,GNB,WR,25,6,0,0,0,0,0,0,0,0,,0,2,2,46,23.00,0,0,0,0,,,5,6.6,6.6,5.6,,143,
337,338,Luke Musgrave,GNB,TE,25,6,4,0,0,0,0,0,0,0,,0,6,5,49,9.80,0,0,0,0,,,5,9.9,9.9,7.4,,70,
338,339,Tyrell Shavers,BUF,WR,26,6,1,0,0,0,0,0,0,0,,0,10,5,51,10.20,0,0,0,0,,,5,10.1,10.1,7.6,,138,
339,340,Xavier Smith,LAR,WR,28,7,0,0,0,0,0,0,0,0,,0,4,3,51,17.00,0,0,0,0,,,5,8.1,8.1,6.6,,139,
340,341,Savion Williams,GNB,WR,24,6,0,0,0,0,0,0,6,27,4.50,0,4,4,23,5.75,0,0,0,0,,,5,9.0,9.0,7.0,,140,
341,342,Dareke Young,SEA,WR,26,6,0,0,0,0,0,0,0,0,,0,2,2,48,24.00,0,0,0,0,,,5,6.8,6.8,5.8,,141,
342,343,Robbie Chosen,WAS,WR,32,1,0,0,0,0,0,0,0,0,,0,4,4,36,9.00,0,0,0,0,,,4,7.6,7.6,5.6,,147,
343,344,Jaydon Blue,DAL,RB,21,3,0,0,0,0,0,0,14,36,2.57,0,1,1,5,5.00,0,0,0,0,,,4,5.1,5.1,4.6,,90,
344,345,Noah Brown,WAS,WR,29,2,2,0,0,0,0,0,0,0,,0,7,3,36,12.00,0,0,0,0,,,4,6.6,6.6,5.1,,148,
345,346,Grant Calcaterra,PHI,TE,27,5,2,0,0,0,0,0,0,0,,0,6,4,40,10.00,0,0,0,0,,,4,8.0,8.0,6.0,,72,
346,347,Will Dissly,LAC,TE,29,4,1,0,0,0,0,0,0,0,,0,5,4,43,10.75,0,0,0,0,,,4,8.3,8.3,6.3,,71,
347,348,D'Wayne Eskridge,MIA,WR,28,7,0,0,0,0,0,0,0,0,,0,6,4,62,15.50,0,1,1,0,,,4,8.2,9.2,6.2,,144,
348,349,Hassan Haskins,LAC,RB,26,7,0,0,0,0,0,0,12,30,2.50,0,4,4,13,3.25,0,0,0,0,,,4,8.3,8.3,6.3,,89,
349,350,Alec Ingold,MIA,FB,29,7,5,0,0,0,0,0,1,3,3.00,0,6,4,36,9.00,0,0,0,0,,,4,7.9,7.9,5.9,,91,
350,351,Kaleb Johnson,PIT,RB,22,4,0,0,0,0,0,0,14,36,2.57,0,1,0,0,,0,1,0,0,,,4,3.6,3.6,3.6,,93,
351,352,Johnny Mundt,JAX,TE,31,7,5,0,0,0,0,0,0,0,,0,10,4,37,9.25,0,0,0,0,,,4,7.7,7.7,5.7,,74,
352,353,Albert Okwuegbunam,LVR,TE,27,1,0,0,0,0,0,0,0,0,,0,6,5,36,7.20,0,0,0,0,,,4,8.6,8.6,6.1,,75,
353,354,Colby Parkinson,LAR,TE,26,5,2,0,0,0,0,0,0,0,,0,8,7,58,8.29,0,1,1,0,,,4,10.8,11.8,7.3,,73,
354,355,Will Shipley,PHI,RB,23,5,0,0,0,0,0,0,4,26,6.50,0,4,2,11,5.50,0,0,0,0,,,4,5.7,5.7,4.7,,92,
355,356,Marquez Valdes-Scantling,SFO,WR,31,5,0,0,0,0,0,0,0,0,,0,8,4,40,10.00,0,0,0,0,,,4,8.0,8.0,6.0,,146,
356,357,Nick Westbrook-Ikhine,MIA,WR,28,7,1,0,0,0,0,0,0,0,,0,11,7,42,6.00,0,0,0,0,,,4,11.2,11.2,7.7,,145,
357,358,Zamir White,LVR,RB,26,4,0,0,0,0,0,0,10,25,2.50,0,5,3,19,6.33,0,0,0,0,,,4,7.4,7.4,5.9,,88,
358,359,Roman Wilson,PIT,WR,24,6,1,0,0,0,0,0,0,0,,0,5,4,36,9.00,0,0,0,0,,,4,7.6,7.6,5.6,,149,
359,360,Chris Brooks,GNB,RB,25,6,0,0,0,0,0,0,2,2,1.00,0,7,5,30,6.00,0,0,0,0,,,3,8.2,8.2,5.7,,94,
360,361,Nathan Carter,ATL,RB,23,2,0,0,0,0,0,0,7,46,6.57,0,0,0,0,,0,1,1,0,,,3,2.6,3.6,2.6,,97,
361,362,Julius Chestnut,TEN,RB,25,7,0,0,0,0,0,0,6,31,5.17,0,2,0,0,,0,0,0,0,,,3,3.1,3.1,3.1,,95,
362,363,Malachi Corley,CLE,WR,23,3,0,0,0,0,0,0,1,11,11.00,0,2,2,17,8.50,0,0,0,0,,,3,4.8,4.8,3.8,,152,
363,364,Charlie Kolar,BAL,TE,26,6,3,0,0,0,0,0,0,0,,0,5,3,32,10.67,0,0,0,0,,,3,6.2,6.2,4.7,,76,
364,365,Trey Lance,LAC,QB,25,1,0,3,4,44,0,0,1,11,11.00,0,0,0,0,,0,0,0,0,,,3,2.9,2.9,2.9,,43,
365,366,James Mitchell,CAR,TE,26,3,0,0,0,0,0,0,0,0,,0,3,3,28,9.33,0,0,0,0,,,3,5.8,5.8,4.3,,77,
366,367,Skyy Moore,SFO,WR,25,7,0,0,0,0,0,0,1,1,1.00,0,3,2,25,12.50,0,1,0,0,,,3,4.6,4.6,3.6,,153,
367,368,Jaret Patterson,LAC,RB,26,1,0,0,0,0,0,0,11,30,2.73,0,0,0,0,,0,0,0,0,,,3,3.0,3.0,3.0,,96,
368,369,Dameon Pierce,HOU,RB,25,2,0,0,0,0,0,0,10,26,2.60,0,1,0,0,,0,0,0,0,,,3,2.6,2.6,2.6,,98,
369,370,Nikko Remigio,KAN,WR,26,7,0,0,0,0,0,0,1,11,11.00,0,1,1,21,21.00,0,1,0,0,,,3,4.2,4.2,3.7,,150,
370,371,Justin Watson,HOU,WR,29,2,0,0,0,0,0,0,0,0,,0,4,3,30,10.00,0,0,0,0,,,3,6.0,6.0,4.5,,151,
371,372,Tyson Bagent,CHI,QB,25,1,0,2,3,27,0,0,2,7,3.50,0,0,0,0,,0,1,0,0,,,2,1.8,1.8,1.8,,45,
372,373,Brenden Bates,HOU,TE,26,3,0,0,0,0,0,0,0,0,,0,2,2,23,11.50,0,0,0,0,,,2,4.3,4.3,3.3,,80,
373,374,Tank Bigsby,2TM,RB,24,7,0,0,0,0,0,0,6,23,3.83,0,1,1,-1,-1.00,0,0,0,0,,,2,3.2,3.2,2.7,,100,
374,375,Jake Bobo,SEA,WR,27,6,0,0,0,0,0,0,0,0,,0,2,2,20,10.00,0,0,0,0,,,2,4.0,4.0,3.0,,157,
375,376,British Brooks,HOU,RB,26,4,0,0,0,0,0,0,2,15,7.50,0,0,0,0,,0,0,0,0,,,2,1.5,1.5,1.5,,107,
376,377,Tahj Brooks,CIN,RB,23,7,0,0,0,0,0,0,5,17,3.40,0,0,0,0,,0,0,0,0,,,2,1.7,1.7,1.7,,105,
377,378,Max Brosmer,MIN,QB,24,3,0,5,8,42,0,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,2,1.6,1.6,1.6,,48,
378,379,Quinn Ewers,MIA,QB,22,1,0,5,8,53,0,0,1,0,0.00,0,0,0,0,,0,2,0,0,,,2,2.1,2.1,2.1,,44,
379,380,George Holani,SEA,RB,26,7,0,0,0,0,0,0,10,27,2.70,0,2,2,15,7.50,0,1,1,0,,,2,4.2,5.2,3.2,,101,
380,381,Jalin Hyatt,NYG,WR,24,5,0,0,0,0,0,0,0,0,,0,9,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,160,
381,382,Terrell Jennings,NWE,RB,24,2,0,0,0,0,0,0,5,18,3.60,0,0,0,0,,0,0,0,0,,,2,1.8,1.8,1.8,,104,
382,383,Roschon Johnson,CHI,RB,24,5,0,0,0,0,0,0,2,17,8.50,0,0,0,0,,0,0,0,0,,,2,1.7,1.7,1.7,,106,
383,384,Lucas Krull,DEN,TE,27,3,3,0,0,0,0,0,0,0,,0,4,2,15,7.50,0,0,0,0,,,2,3.5,3.5,2.5,,84,
384,385,Gage Larvadain,CLE,WR,23,3,0,0,0,0,0,0,0,0,,0,5,2,22,11.00,0,0,0,0,,,2,4.2,4.2,3.2,,155,
385,386,Dylan Laube,LVR,RB,26,7,0,0,0,0,0,0,5,5,1.00,0,4,3,18,6.00,0,0,0,0,,,2,5.3,5.3,3.8,,99,
386,387,Isaiah Likely,BAL,TE,25,3,2,0,0,0,0,0,0,0,,0,3,3,18,6.00,0,1,0,0,,,2,4.8,4.8,3.3,,82,
387,388,Tay Martin,WAS,WR,28,3,0,0,0,0,0,0,0,0,,0,2,2,23,11.50,0,0,0,0,,,2,4.3,4.3,3.3,,154,
388,389,John Metchie,PHI,WR,25,6,0,0,0,0,0,0,0,0,,0,4,4,18,4.50,0,0,0,0,,,2,5.8,5.8,3.8,,158,
